Delivery Rate (%),Node Count (N),Branch Count (K),Faulty Nodes (f),Total Rounds,Success Rate (%),Raw Reliability,First-View Success Rate (%),First-View Raw Reliability,Avg Latency (ms)
94,88,9,29,1000,99.30%,0.993,55.40%,0.554,459.8
94,90,9,29,1000,98.50%,0.985,60.90%,0.609,431.52
94,92,10,30,1000,86.10%,0.861,39.70%,0.397,758.43
94,94,10,31,1000,79.20%,0.792,34.90%,0.349,858.58
94,96,10,31,1000,99.60%,0.996,58.10%,0.581,445.45
94,98,10,32,1000,98.80%,0.988,66.80%,0.668,379.65
94,100,10,33,1000,98.60%,0.986,55.10%,0.551,543.91
95,16,4,5,1000,67.10%,0.671,34.60%,0.346,824.31
95,18,4,5,1000,99.40%,0.994,65.10%,0.651,342.65
95,20,4,6,1000,99.80%,0.998,54.90%,0.549,367.23
95,22,5,7,1000,94.30%,0.943,44.40%,0.444,653.81
95,24,5,7,1000,99.90%,0.999,76.90%,0.769,198.2
95,26,5,8,1000,99.90%,0.999,53.10%,0.531,354.38
95,28,5,9,1000,98.00%,0.98,21.50%,0.215,778.71
95,30,5,9,1000,99.40%,0.994,26.50%,0.265,605.73
95,32,6,10,1000,99.60%,0.996,51.10%,0.511,385.68
95,34,6,11,1000,94.00%,0.94,15.70%,0.157,904.64
95,36,6,11,1000,98.40%,0.984,17.40%,0.174,741.81
95,38,6,12,1000,77.20%,0.772,44.00%,0.44,639.53
95,40,6,13,1000,87.50%,0.875,26.60%,0.266,850.92
95,42,6,13,1000,97.90%,0.979,70.10%,0.701,291.62
95,44,7,14,1000,74.40%,0.744,42.70%,0.427,601.57
95,46,7,15,1000,81.90%,0.819,22.80%,0.228,932.46
95,48,7,15,1000,97.70%,0.977,65.00%,0.65,361.56
95,50,7,16,1000,99.50%,0.995,62.20%,0.622,361.59
95,52,7,17,1000,99.90%,0.999,68.90%,0.689,256.87
95,54,7,17,1000,100.00%,1.0,82.30%,0.823,135.22
95,56,7,18,1000,99.40%,0.994,62.20%,0.622,331.21
95,58,8,19,1000,99.60%,0.996,62.90%,0.629,375.6
95,60,8,19,1000,100.00%,1.0,73.90%,0.739,234.42
95,62,8,20,1000,100.00%,1.0,79.30%,0.793,177.65
95,64,8,21,1000,99.30%,0.993,55.50%,0.555,391.99
95,66,8,21,1000,100.00%,1.0,61.30%,0.613,312.75
95,68,8,22,1000,99.70%,0.997,64.70%,0.647,304.85
95,70,8,23,1000,94.10%,0.941,8.50%,0.085,983.78
95,72,8,23,1000,95.80%,0.958,8.60%,0.086,953.22
95,74,9,24,1000,99.90%,0.999,58.40%,0.584,352.57
95,76,9,25,1000,99.40%,0.994,59.70%,0.597,385.09
95,78,9,25,1000,99.80%,0.998,67.60%,0.676,291.95
95,80,9,26,1000,90.10%,0.901,7.30%,0.073,1054.22
95,82,9,27,1000,76.40%,0.764,7.60%,0.076,1215.15
95,84,9,27,1000,96.10%,0.961,60.70%,0.607,453.23
95,86,9,28,1000,97.30%,0.973,45.00%,0.45,588.76
95,88,9,29,1000,100.00%,1.0,76.10%,0.761,227.47
95,90,9,29,1000,100.00%,1.0,80.30%,0.803,199.92
95,92,10,30,1000,96.80%,0.968,56.40%,0.564,502.15
95,94,10,31,1000,93.60%,0.936,52.70%,0.527,594.34
95,96,10,31,1000,100.00%,1.0,77.70%,0.777,221.91
95,98,10,32,1000,99.90%,0.999,81.60%,0.816,214.5
95,100,10,33,1000,99.90%,0.999,78.90%,0.789,245.51
96,16,4,5,1000,84.20%,0.842,48.20%,0.482,693.82
96,18,4,5,1000,99.90%,0.999,78.50%,0.785,187.89
96,20,4,6,1000,99.90%,0.999,64.40%,0.644,258.72
96,22,5,7,1000,98.90%,0.989,59.60%,0.596,423.62
96,24,5,7,1000,100.00%,1.0,88.30%,0.883,99.57
96,26,5,8,1000,100.00%,1.0,65.80%,0.658,228.24
96,28,5,9,1000,99.70%,0.997,30.50%,0.305,585.42
96,30,5,9,1000,99.80%,0.998,37.20%,0.372,467.85
96,32,6,10,1000,100.00%,1.0,66.30%,0.663,230.0
96,34,6,11,1000,98.80%,0.988,23.00%,0.23,689.16
96,36,6,11,1000,99.60%,0.996,25.80%,0.258,562.53
96,38,6,12,1000,87.10%,0.871,57.00%,0.57,466.04
96,40,6,13,1000,96.70%,0.967,40.00%,0.4,600.01
96,42,6,13,1000,100.00%,1.0,81.30%,0.813,172.42
96,44,7,14,1000,88.40%,0.884,57.80%,0.578,467.01
96,46,7,15,1000,95.50%,0.955,40.50%,0.405,596.4
96,48,7,15,1000,99.90%,0.999,80.80%,0.808,181.43
96,50,7,16,1000,100.00%,1.0,78.60%,0.786,173.86
96,52,7,17,1000,100.00%,1.0,82.40%,0.824,138.1
96,54,7,17,1000,100.00%,1.0,90.40%,0.904,81.33
96,56,7,18,1000,100.00%,1.0,76.60%,0.766,181.33
96,58,8,19,1000,100.00%,1.0,79.10%,0.791,177.75
96,60,8,19,1000,100.00%,1.0,86.60%,0.866,118.76
96,62,8,20,1000,100.00%,1.0,88.30%,0.883,103.26
96,64,8,21,1000,100.00%,1.0,70.70%,0.707,240.44
96,66,8,21,1000,100.00%,1.0,76.10%,0.761,181.87
96,68,8,22,1000,100.00%,1.0,81.50%,0.815,160.0
96,70,8,23,1000,99.00%,0.99,16.70%,0.167,750.59
96,72,8,23,1000,99.60%,0.996,16.70%,0.167,713.24
96,74,9,24,1000,100.00%,1.0,74.70%,0.747,190.67
96,76,9,25,1000,100.00%,1.0,74.20%,0.742,224.17
96,78,9,25,1000,100.00%,1.0,82.40%,0.824,159.08
96,80,9,26,1000,98.00%,0.98,13.50%,0.135,856.9
96,82,9,27,1000,92.00%,0.92,10.50%,0.105,1024.34
96,84,9,27,1000,99.00%,0.99,73.50%,0.735,283.69
96,86,9,28,1000,100.00%,1.0,65.60%,0.656,342.45
96,88,9,29,1000,100.00%,1.0,90.10%,0.901,125.86
96,90,9,29,1000,100.00%,1.0,91.50%,0.915,119.66
96,92,10,30,1000,99.80%,0.998,73.10%,0.731,318.29
96,94,10,31,1000,99.30%,0.993,70.60%,0.706,332.98
96,96,10,31,1000,100.00%,1.0,90.30%,0.903,129.76
96,98,10,32,1000,100.00%,1.0,94.50%,0.945,105.73
96,100,10,33,1000,100.00%,1.0,90.60%,0.906,134.92
