N,DR,K,f,q_global,groups,P_phase,P_first_view_theory,P_final_3views,P_final_5views,P_first_view_exp,P_final_exp
66,96,8,21,43,"[9, 9, 8, 8, 8, 8, 8, 8]",0.9999191151171013,0.9997573649778676,0.9999999999857156,1.0,0.761,1.0
68,96,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.9999498157062664,0.9998494546740628,0.9999999999965881,1.0,0.815,1.0
70,96,8,23,47,"[9, 9, 9, 9, 9, 9, 8, 8]",0.999969637730067,0.9999089159557752,0.9999999999992444,1.0,0.167,0.99
72,96,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.9999968831732018,0.9999906495487492,0.9999999999999992,1.0,0.167,0.996
74,96,9,24,49,"[9, 9, 8, 8, 8, 8, 8, 8, 8]",0.9999330874540038,0.9997992757935782,0.9999999999919128,1.0,0.747,1.0
76,96,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.9999603994072597,0.9998812029263378,0.9999999999983235,1.0,0.742,1.0
78,96,9,25,51,"[9, 9, 9, 9, 9, 9, 8, 8, 8]",0.9999937303948191,0.9999811913023808,0.9999999999999933,1.0,0.824,1.0
80,96,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.999997244120954,0.9999917323856466,0.9999999999999994,1.0,0.135,0.98
82,96,9,27,55,"[10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9999850795349916,0.9999552392728324,0.9999999999999103,1.0,0.105,0.92
84,96,9,27,55,"[10, 10, 10, 9, 9, 9, 9, 9, 9]",0.9999311045451382,0.9997933278748388,0.9999999999911723,1.0,0.735,0.99
86,96,9,28,57,"[10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9996895939218735,0.9990690707915123,0.9999999991932296,0.9999999999999993,0.656,1.0
88,96,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 9, 9]",0.9991693911322034,0.9975102425568376,0.9999999845662622,0.9999999999999043,0.901,1.0
90,96,9,29,59,"[10, 10, 10, 10, 10, 10, 10, 10, 10]",0.9988420040907223,0.9965300335829248,0.9999999582192901,0.999999999999497,0.915,1.0
92,96,10,30,61,"[10, 10, 9, 9, 9, 9, 9, 9, 9, 9]",0.9999865389162726,0.9999596172924178,0.9999999999999342,1.0,0.731,0.998
94,96,10,31,63,"[10, 10, 10, 10, 9, 9, 9, 9, 9, 9]",0.999884077938531,0.9996522741278081,0.9999999999579553,1.0,0.706,0.993
96,96,10,31,63,"[10, 10, 10, 10, 10, 10, 9, 9, 9, 9]",0.9997988073242832,0.9993965434001838,0.9999999997802453,0.9999999999999999,0.903,1.0
98,96,10,32,65,"[10, 10, 10, 10, 10, 10, 10, 10, 9, 9]",0.9994882351132164,0.9984654909155143,0.9999999963866636,0.9999999999999915,0.945,1.0
100,96,10,33,67,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.9989611684123182,0.9968867416290803,0.9999999698251241,0.9999999999997076,0.906,1.0
16,98,4,5,11,"[4, 4, 4, 4]",0.9317464409783469,0.8088970053897532,0.9930208508814574,0.9997451189997405,0.828,0.991
20,98,4,6,13,"[5, 5, 5, 5]",0.9991738882429904,0.9975237115470875,0.9999999848153881,0.9999999999999069,0.894,1.0
24,98,5,7,15,"[5, 5, 5, 5, 4]",0.9993633394380382,0.9980912340660663,0.9999999930456263,0.9999999999999747,0.988,1.0
28,98,5,9,19,"[6, 6, 6, 5, 5]",0.999892947766936,0.9996788776801231,0.999999999966886,1.0,0.608,1.0
32,98,6,10,21,"[6, 6, 5, 5, 5, 5]",0.9999640261322464,0.9998920822790502,0.9999999999987431,1.0,0.887,1.0
36,98,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9999995960347198,0.9999987881046489,1.0,1.0,0.536,1.0
40,98,6,13,27,"[7, 7, 7, 7, 6, 6]",0.9982667481763889,0.99480925180785,0.9999998601411721,0.9999999999962317,0.773,1.0
44,98,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.9999411400946772,0.999823430677293,0.9999999999944952,1.0,0.861,0.999
48,98,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.9997939621005288,0.999382013647688,0.9999999997639866,0.9999999999999999,0.987,1.0
52,98,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.9999005270248214,0.9997016107580982,0.9999999999734326,1.0,0.98,1.0
56,98,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.9999983136185355,0.9999949408641382,0.9999999999999999,1.0,0.959,1.0
60,98,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.9999817016126854,0.999945105842543,0.9999999999998346,1.0,0.99,1.0
64,98,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.9999993895884056,0.9999981687663346,1.0,1.0,0.956,1.0
68,98,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.9999999647180318,0.9999998941540991,1.0,1.0,0.967,1.0
72,98,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.9999999996712257,0.999999999013677,1.0,1.0,0.463,1.0
76,98,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.9999999787689378,0.9999999363068146,1.0,1.0,0.961,1.0
80,98,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.9999999996763679,0.9999999990291036,1.0,1.0,0.403,1.0
16,99,4,5,11,"[4, 4, 4, 4]",0.9807916294806696,0.9434746857868712,0.999819395338476,0.9999994229480328,0.947,1.0
20,99,4,6,13,"[5, 5, 5, 5]",0.9999535371524848,0.9998606179337427,0.9999999999972922,1.0,0.971,1.0
24,99,5,7,15,"[5, 5, 5, 5, 4]",0.99997407912954,0.999922239404277,0.9999999999995298,1.0,0.998,1.0
28,99,5,9,19,"[6, 6, 6, 5, 5]",0.9999968554302543,0.9999905663204278,0.9999999999999991,1.0,0.775,1.0
32,99,6,10,21,"[6, 6, 5, 5, 5, 5]",0.9999995725603011,0.9999987176814515,1.0,1.0,0.977,1.0
36,99,6,11,23,"[6, 6, 6, 6, 6, 6]",0.9999999988484836,0.9999999965454507,1.0,1.0,0.738,1.0
40,99,6,13,27,"[7, 7, 7, 7, 6, 6]",0.9999213998312861,0.9997642180273324,0.9999999999868922,1.0,0.946,1.0
44,99,7,14,29,"[7, 7, 6, 6, 6, 6, 6]",0.9999992448246375,0.9999977344756235,1.0,1.0,0.957,0.999
48,99,7,15,31,"[7, 7, 7, 7, 7, 7, 6]",0.9999963493823201,0.9999890481869412,0.9999999999999987,1.0,0.999,1.0
52,99,7,17,35,"[8, 8, 8, 7, 7, 7, 7]",0.9999989458681697,0.9999968376078427,1.0,1.0,0.995,1.0
56,99,7,18,37,"[8, 8, 8, 8, 8, 8, 8]",0.999999997844482,0.999999993533446,1.0,1.0,0.996,1.0
60,99,8,19,39,"[8, 8, 8, 8, 7, 7, 7, 7]",0.9999999268296461,0.9999997804889544,1.0,1.0,0.999,1.0
64,99,8,21,43,"[8, 8, 8, 8, 8, 8, 8, 8]",0.9999999989531505,0.9999999968594515,1.0,1.0,0.992,1.0
68,99,8,22,45,"[9, 9, 9, 9, 8, 8, 8, 8]",0.9999999999725089,0.9999999999175266,1.0,1.0,0.998,1.0
72,99,8,23,47,"[9, 9, 9, 9, 9, 9, 9, 9]",0.9999999999999587,0.9999999999998761,1.0,1.0,0.692,1.0
76,99,9,25,51,"[9, 9, 9, 9, 8, 8, 8, 8, 8]",0.9999999999933827,0.9999999999801482,1.0,1.0,0.994,1.0
80,99,9,26,53,"[9, 9, 9, 9, 9, 9, 9, 9, 8]",0.9999999999999741,0.9999999999999224,1.0,1.0,0.607,1.0
